label,M,C,S,N,precision,recall,f1
ae,461,481,763,466,0.6192893401015228,0.4982244318181818,0.5521991537931713
age,94,11,20,38,0.9045454545454545,0.6958041958041958,0.7865612648221345
cdrug,173,61,210,76,0.7102966841186736,0.6564516129032258,0.6823134953897738
cod,0,0,16,0,0.0,0.0,0.0
date,0,0,113,0,0.0,0.0,0.0
diagnostic,0,21,126,27,0.2,0.21875,0.20895522388059704
dose,87,83,89,94,0.6684005201560468,0.48674242424242425,0.5632876712328766
drug,0,31,0,16,0.5,0.32978723404255317,0.3974358974358974
duration,0,0,17,0,0.0,0.0,0.0
ind,37,33,30,39,0.6903225806451613,0.4908256880733945,0.5737265415549598
lab,205,225,151,222,0.6787814003206841,0.4869631901840491,0.5670908684974325
mae,0,6,208,18,0.05172413793103448,0.125,0.07317073170731707
medical history,251,148,112,224,0.7611241217798594,0.521669341894061,0.6190476190476191
odrug,0,0,125,0,0.0,0.0,0.0
relative,0,0,5,0,0.0,0.0,0.0
sdrug,224,216,464,177,0.5971223021582733,0.5380875202593193,0.566069906223359
sex,99,5,20,30,0.9311926605504587,0.7574626865671642,0.8353909465020576
status,33,34,54,313,0.6211180124223602,0.13157894736842105,0.21715526601520088
temporal,0,858,0,351,0.5,0.3548387096774194,0.41509433962264153
treatment,42,106,90,157,0.5571847507331378,0.3114754098360656,0.39957939011566773
