label,M,C,S,N,precision,recall,f1
ae,76,254,898,1150,0.36609558160504957,0.13716216216216215,0.199557630867535
age,0,2,0,141,0.5,0.006993006993006993,0.013793103448275862
cod,0,0,5,0,0.0,0.0,0.0
dose,0,10,0,254,0.5,0.01893939393939394,0.03649635036496351
drug,222,59,474,693,0.6295369211514393,0.2582135523613963,0.3662176920276666
ind,0,27,0,82,0.5,0.12385321100917432,0.19852941176470587
lab,0,160,0,492,0.5,0.12269938650306748,0.19704433497536947
medical history,4,127,24,492,0.4927007299270073,0.10834670947030497,0.17763157894736842
sex,0,7,0,127,0.5,0.026119402985074626,0.04964539007092198
status,0,72,0,308,0.5,0.09473684210526316,0.15929203539823011
temporal,0,13,0,1196,0.5,0.005376344086021506,0.010638297872340427
treatment,0,126,0,179,0.5,0.20655737704918034,0.2923433874709977
