bert_match_type,llm_match_type,eth_match_type,bert_label_gold,bert_gold_start,bert_gold_end,bert_gold_text,bert_sentence
M,N,N,sdrug,98.0,105.0,aimovig,          OUTCOME OTHER DESCRIPTION: Tell us what happened and how it happened:Every time i do my aimovig 140mg injections i experience 2-5 days of constant facial tingling during waking hours and sleep paralysis with whole body tingling at night.
M,N,N,dose,106.0,111.0,140mg,          OUTCOME OTHER DESCRIPTION: Tell us what happened and how it happened:Every time i do my aimovig 140mg injections i experience 2-5 days of constant facial tingling during waking hours and sleep paralysis with whole body tingling at night.
C,N,N,temporal,136.0,144.0,2-5 days,          OUTCOME OTHER DESCRIPTION: Tell us what happened and how it happened:Every time i do my aimovig 140mg injections i experience 2-5 days of constant facial tingling during waking hours and sleep paralysis with whole body tingling at night.
C,N,N,ae,148.0,192.0,constant facial tingling during waking hours,          OUTCOME OTHER DESCRIPTION: Tell us what happened and how it happened:Every time i do my aimovig 140mg injections i experience 2-5 days of constant facial tingling during waking hours and sleep paralysis with whole body tingling at night.
C,N,N,ae,197.0,246.0,sleep paralysis with whole body tingling at night,          OUTCOME OTHER DESCRIPTION: Tell us what happened and how it happened:Every time i do my aimovig 140mg injections i experience 2-5 days of constant facial tingling during waking hours and sleep paralysis with whole body tingling at night.
M,M,C,ae,72.0,90.0,ALLERGIC REACTIONS,          PATIENT REPORTED THAT SHE IS NOT TAKING THE MEDICATION DUE TO ALLERGIC REACTIONS.
C,N,M,ae,34.0,53.0,sub dural hematomas,     OUTCOME OTHER DESCRIPTION: 2 sub dural hematomas Tell us what happened and how it happened: A day after my second dose of Aimovig I had a really bad headache like nothing I had had in the last several years.
M,M,N,sdrug,127.0,134.0,Aimovig,     OUTCOME OTHER DESCRIPTION: 2 sub dural hematomas Tell us what happened and how it happened: A day after my second dose of Aimovig I had a really bad headache like nothing I had had in the last several years.
C,C,N,ae,150.0,162.0,bad headache,     OUTCOME OTHER DESCRIPTION: 2 sub dural hematomas Tell us what happened and how it happened: A day after my second dose of Aimovig I had a really bad headache like nothing I had had in the last several years.
M,N,N,temporal,193.0,211.0,last several years,     OUTCOME OTHER DESCRIPTION: 2 sub dural hematomas Tell us what happened and how it happened: A day after my second dose of Aimovig I had a really bad headache like nothing I had had in the last several years.
M,C,N,temporal,2.0,13.0,01-Jan-2004,"  01-Jan-2004: The patient initiated oral Gemadol Retard prolonged-release capsule, hard at a dose of 50 mg, unknown frequency and oral Tradolan modified-release capsule, hard at a dose of 100 mg daily; both for pain."
N,C,N,sdrug,37.0,82.0,oral Gemadol Retard prolonged-release capsule,"  01-Jan-2004: The patient initiated oral Gemadol Retard prolonged-release capsule, hard at a dose of 50 mg, unknown frequency and oral Tradolan modified-release capsule, hard at a dose of 100 mg daily; both for pain."
M,C,N,dose,92.0,107.0,a dose of 50 mg,"  01-Jan-2004: The patient initiated oral Gemadol Retard prolonged-release capsule, hard at a dose of 50 mg, unknown frequency and oral Tradolan modified-release capsule, hard at a dose of 100 mg daily; both for pain."
N,C,N,cdrug,131.0,169.0,oral Tradolan modified-release capsule,"  01-Jan-2004: The patient initiated oral Gemadol Retard prolonged-release capsule, hard at a dose of 50 mg, unknown frequency and oral Tradolan modified-release capsule, hard at a dose of 100 mg daily; both for pain."
C,C,N,dose,176.0,201.0,at a dose of 100 mg daily,"  01-Jan-2004: The patient initiated oral Gemadol Retard prolonged-release capsule, hard at a dose of 50 mg, unknown frequency and oral Tradolan modified-release capsule, hard at a dose of 100 mg daily; both for pain."
N,M,N,ind,212.0,216.0,pain,"  01-Jan-2004: The patient initiated oral Gemadol Retard prolonged-release capsule, hard at a dose of 50 mg, unknown frequency and oral Tradolan modified-release capsule, hard at a dose of 100 mg daily; both for pain."
C,M,N,ae,57.0,105.0,"TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY","  At the time of the report the outcome of the AEs were: TRAMADOL, CYCLOBENZAPRINE AND MELOXICAM TOXICITY:Fatal, Hypotension:Unknown, Tachycardia:Unknown, Acute lung injury:Unknown, Acute respiratory distress syndrome:Unknown, Coma:Unknown, CNS depression:Unknown, Metabolic acidosis:Unknown, Coagulopathy:Unknown, Hypoglycemia:Unknown, Abnormal anion gap:Unknown, Hepatotoxicity:Unknown, Acute kidney injury:Unknown, Rhabdomyolysis:Unknown."
